text,language,n_words
"Ponieważ celem zarządzania jest dobra wydajność, manager nie powinien niepotrzebnie ograniczać pracy.
",pl,12
"Med anledning av detta stöder jag med eftertryck tankarna i kommissionens meddelande.
",sv,12
"Das muss international abgestimmt sein.
",de,5
"Há, porém, um problema: a conclusão do sistema de informação foi adiada.
",pt,12
"18 let jsem byl členem vnitrostátního parlamentu.
",cs,6
"Cependant, nous devons également être prudents.
",fr,6
"Przyjęte rozporządzenie wprowadza także kilka wyjątków, dla tych, którzy tego potrzebują.
",pl,11
"(PT) Pane předsedo, jak bylo možné udělat tolik v tak krátkém čase?
",cs,12
"Habría sido factible técnicamente.
",es,4
"Μπορεί να ειπωθεί ότι πρόκειται για ένα από τα πιο σημαντικά καθήκοντα της ΕΕ.
",el,14
"Tak stało się w ubiegłym tygodniu w Portugalii.
",pl,8
"Il est essentiel de préserver l'intégrité des parlementaires et des citoyens.
",fr,12
"Olemme laatineet lainsäädäntöä, joka toimii tulevaisuudessa.
",fi,6
"Yo no podría estar más de acuerdo.
",es,7
"Όπως διαπιστώσαμε και από τον αρχικό κανονισμό υπάρχουν πάντα δυνατότητες εξαιρέσεων.
",el,11
"Foram os seus cidadãos informados de tal facto?
",pt,8
"L'Union européenne doit donner le bon exemple en montrant une attitude solidaire.
",fr,13
"Desidero ricordarlo all'inizio delle mie argomentazioni.
",it,7
"Θα παρότρυνα την Επιτροπή να μην αγνοεί αυτόν τον σημαντικό τομέα.
",el,11
"Man skall för första gången försöka att upprätta en konstitution för Europeiska unionen.
",sv,13
"Los aviones y barcos chipriotas todavía no son admitidos en territorio turco.
",es,12
"Proto žádáme, aby byly tyto tři body včleněny do revidovaných hlavních směrů.
",cs,12
"Istunnon päättäminen
",fi,2
"Förarsäte på jordbruks- eller skogbrukstraktorer med hjul (kodifierad version) (
",sv,9
"Takže toto velmi vítám.
",cs,4
"γραπτώς. - (EN) Καταψήφισα την έκθεση Jordan Cizelj σχετικά με τον Οργανισμό Εφοδιασμού της Ευρατόμ.
",el,14
"Uhlí zůstává významnou součástí celkové skladby zdrojů.
",cs,7
"O Parlamento é livre de, em qualquer altura, pedir ao Conselho para estar presente.
",pt,14
"Questo atteggiamento progressista è inconciliabile con le affermazioni contenute nella relazione.
",it,11
"Den lyder ”i alla demokratier”.
",sv,5
"O que fazer - como diria Lenine?
",pt,6
"Wie viele Freunde wurden in die Sachverständigengruppen eingeschleust?
",de,8
"Condivido le proposte avanzate nelle due relazioni.
",it,7
"Não queremos que isso aconteça, por isso, procuremos agir desde já.
",pt,11
"Os meios de comunicação social também precisam de nos ajudar nesta tarefa.
",pt,12
"Le programme d'ajustement est sur les rails.
",fr,8
"Ponadto uważam, że legitymacja tej rezolucji jest nader wątpliwa w świetle Regulaminu.
",pl,12
"Powinniśmy zatem przyjrzeć się europejskiej polityce spójności w długiej perspektywie.
",pl,10
"Då är frågan hur vi skall agera i dagsläget.
",sv,9
"El Reino Unido también tropieza con un problema en esta esfera.
",es,11
"Pamiętam to, ponieważ mieszkam w departamencie Gironde, bardzo blisko lasów Gironde.
",pl,11
"Νόμιζα ότι θα ήταν πολύ αργότερα.
",el,6
"Det organet måste få en verklig tyngd. Den betydelse som ekofinrådet har fått måste uppvägas.
",sv,15
"Concludo dunque ringraziando anticipatamente il Parlamento per il suo contributo a questa grande impresa.
",it,14
"Posso mencionar toda uma série de exemplos que demonstram não ser esse o caso.
",pt,14
"Ich spreche hier den Bereich der Verbesserung der Rechtshilfe in Strafsachen an.
",de,12
"Nosotros proponemos que el consumidor final pueda entregar su aparato sin costes.
",es,12
"Da, moramo spregovoriti o vprašanju razvrednotenja Beneševih odlokov.
",sl,8
"Das palästinensische Volk braucht dringend eine politische Perspektive.
",de,8
"Po drugie należy utrzymać wystarczające instrumenty chroniące przed załamaniem rynku i podaży.
",pl,12
"Rådet fungerar som ett kryphål för skogsindustrin, sjöfartsindustrin och flyget i klimatförhandlingarna.
",sv,12
"Prav tako se strinjam z vašo prvo izjavo.
",sl,8
"La posibilidad de realizar un control independiente a priori debe continuar existiendo.
",es,12
"(HU) Velmi pěkně děkuji, pane předsedající.
",cs,6
"Det kunne være tilfældet. Det forekommer.
",da,6
"Olemme ehdottaneet 200 miljoonan euron suuruista makrotaloudellisen rahoitusavun pakettia, jolle odotamme parlamentin hyväksyntää.
",fi,12
"Ocenila bych, pokud byste mi mohla tuto otázku objasnit.
",cs,9
"Molte grazie, signor Presidente in carica del Consiglio.
",it,8
"Señor Posselt, supongo que habla usted en contra del aplazamiento de la votación.
",es,13
"Uppriktigt sagt är det ett steg som absolut borde ha tagits redan tidigare.
",sv,13
"Tudi sama podpiram ta osnutek na mizi, ki je rezultat 15 let pogajanj.
",sl,12
"A mio parere, si dovrebbero utilizzare le lingue dei paesi confinanti.
",it,11
"Wir sind mehr als ein Handelsblock.
",de,6
"Bonde og Sandbæk (I-EDN), skriftlig.
",da,6
"Ces microcrédits sont, avant tout, octroyés au niveau local.
",fr,9
"Tratase de um ponto assaz relevante; aliás, acabo de fazer uma crítica a esta situação.
",pt,15
"Ce qui a donné lieu à une lamentable confusion.
",fr,9
"Slutsatserna från dessa experter bör finnas klara i slutet av februari.
",sv,11
"Bohužel se v Evropě v oblasti zdraví objevily některé nepříznivé trendy.
",cs,11
"(Inpass från Voggenhuber.) Jag har sagt det, helt klart och tydligt!
",sv,11
"Me viemme eläimiämme - ja kenties myös niiden terveysongelmia - ja on selvää, että olemme yhteisesti vastuussa.
",fi,15
"Omissa sopimuksissamme tekemämme sitoumukset velvoittavat meitä siihen, ja Euroopan kansalaiset odottavat sitä meiltä.
",fi,13
"Ich bin in der Tat sehr erfreut über die von Ihnen abgegebene Einschätzung.
",de,13
"Fråga nr 60 från Hubert Pirker (H-0036/97):
",sv,6
"Esa advertencia debe ser motivo de meditación.
",es,7
"Le vote aura lieu demain à 12 heures.
",fr,7
"Ce travail doit couvrir les années 2003 à 2005, et nous avons déjà bien entamé l'année 2003.
",fr,15
"B5-0469/2000 af Boudjenah og Morgantini for GUE/NGL-gruppen
",da,8
"Rahed jest zrozpaczony i znajduje się w ośrodku, który odwiedziliśmy.
",pl,10
"Je tiens à dire que ce sujet est complexe.
",fr,9
"Keskustelu on päättynyt.
",fi,3
"Não ocultamos que pretendíamos ter ido mais longe.
",pt,8
"Πρόκειται προφανώς για ζητήματα που κινούνται όλα προς τη σωστή κατεύθυνση.
",el,11
"Dokazujeme, že jsme v této bitvě vedoucím představitelem.
",cs,8
"Utifrån den synvinkeln anser vi att mycket återstår att göra.
",sv,10
"Ο συγκεκριμένος κανονισμός, αν και παλαιός, δεν εφαρμόζεται ωστόσο.
",el,9
"L'épidémie du SRAS a déjà un impact politique et économique.
",fr,11
"(EL) Herr Präsident! Ich möchte mich dazu äußern und eine Frage stellen.
",de,12
"(PL) Κύριε Επίτροπε, έχω το ακόλουθο αίτημα.
",el,7
"On lukuisia merkittäviä yhteistyötä edellyttäviä aloja, joilla tarvitaan Venäjän osallistumista.
",fi,10
"Trpeli so finančno in želeli so si hitrejši odziv.
",sl,9
"L'Union est certainement réticente à résoudre ce problème.
",fr,9
"Sono necessarie sovvenzioni ingenti.
",it,4
"Dlatego też jesteśmy ogólnie bardzo zadowoleni z wniosku.
",pl,8
"Poskytnuté zdroje musí být samozřejmě spravovány řádným a průhledným způsobem.
",cs,10
"Sen me koimme toistuvasti valtuuskuntamme matkalla Kolumbiaan joulukuussa.
",fi,8
"Olen hyvin iloinen siitä, että herra Rocard on sisällyttänyt tämän asian mietintöönsä.
",fi,12
"Já se deu início à avaliação do impacto sobre a sustentabilidade.
",pt,11
"Jaderné odzbrojení na mezinárodní úrovni je naprosto zásadní.
",cs,8
"Certaines opérations de la dernière législature ne sont aujourd'hui pas encore réglées.
",fr,13
"Είναι κρίμα που έφυγε ο Επίτροπος Rehn.
",el,7
"Qual è la situazione attuale in proposito?
",it,7
"La prisa no es nunca una buena consejera.
",es,8
"S to državljansko pobudo želimo sporočiti, da to ni več sprejemljivo.
",sl,11
"Προφορικές αιτιολογήσεις ψήφου
",el,3
"De 230 millioner alene er med sikkerhed ikke tilstrækkeligt.
",da,8
"Vključiti moramo vpletene stranke in nevladne organizacije, ter pripraviti predloge.
",sl,10
"Pour assurer un équilibre intersectoriel?
",fr,5
"Un interrogativo continua a circolare nell'Unione europea: quo vadis Europa?
",it,11
"Poszczególne części Europy znacznie różnią się od siebie pod względem potrzeb.
",pl,11
"Si se retiraran las ayudas, estas regiones sufrirían un enorme retroceso.
",es,11
"Isto não pode ser uma lista desejos a realizar.
",pt,9
"Naapuruuspolitiikka todellakin kattaa useita asioita, ja siksi keskustelu on ollut laaja-alaista.
",fi,12
"Αποδείχθηκε ότι οι εν λόγω λεκέδες ήταν αποτέλεσμα των καταλοίπων.
",el,10
"- Antes de la votación:
",es,4
"Azerbejdżan musi dotrzymywać swoich zobowiązań jako członek Rady Europy i partner Unii Europejskiej.
",pl,13
"Es nuestro más sincero deseo.
",es,5
"Em grande número, a operação é realizável em menos de 48 horas.
",pt,11
"Liczne są przyczyny takiego stanu rzeczy.
",pl,6
"Ord, der taler for sig selv ...
",da,6
"Esto es fundamental.
",es,3
"C'est le point problématique.
",fr,5
"Tato zpráva obsahuje tři body, u nichž jsem přesvědčena, že zasluhují vylepšení.
",cs,12
"Istotne także jest uwzględnienie wkładu energii jądrowej w ochronę klimatu.
",pl,10
"A Comissão apoia cabalmente a candidatura da Ministra Christine Lagarde.
",pt,10
"Κύριε Επίτροπε, σας ζητώ να επανεξετάσετε αυτό το θέμα πιο προσεκτικά.
",el,11
"Paní komisařko, těším se na vaši odpověď.
",cs,7
"Foi essa a nossa orientação para o quarto programa-quadro.
",pt,10
"Es gibt ja nicht den Ansatz eines Beweises, dass Massenvernichtungswaffen existieren.
",de,11
"Es steckt immer noch in den Kinderschuhen.
",de,7
"Im Europäischen Parlament selbst ist davon allerdings wenig zu merken.
",de,10
"To drži tudi v zvezi z vzhodno razsežnostjo politike.
",sl,9
"Necessitamos de uma política agrícola comum mais justa e mais simples.
",pt,11
"Emissões industriais (prevenção e controlo integrados da poluição) (reformulação) (
",pt,9
"Neuvoston ja komission on jatkettava painostusta, mutta myös keskusteltava kaikkien osapuolten kanssa.
",fi,12
"Ensinnäkin meidän on käsiteltävä pätevyyseroja ja opetuksen ja koulutuksen strategiaa, jota tarvitaan näiden pätevyyserojen vähentämiseksi.
",fi,15
"Information und Kommunikation bedürfen folglich besonderer Aufmerksamkeit.
",de,7
"Quanto às liberdades, falámos antes sobre a adesão à Convenção Europeia dos Direitos do Homem.
",pt,15
"Arvoisa puhemies, kiitän tietysti kovasti puheenjohtajavaltio Kreikkaa vastauksesta, mutta minun on kuitenkin ilmaistava pettymykseni.
",fi,14
"Jeg har grundlæggende tillid til de nationale regeringer.
",da,8
"Nous sommes pratiquement les derniers à adopter une position sur cette question.
",fr,12
"Dlatego wzywam Komisję do uwzględnienia tej kwestii w rozmowach dwustronnych z państwami członkowskimi.
",pl,13
"Aujourd'hui, ça y est.
",fr,5
"Abbiamo fatto proposte di strumenti efficaci, quale l’istituzione di una europea.
",it,12
"11 mil milhões de euros significa que temos uma sub­execução orçamental de cerca de 10%.
",pt,14
"Nun brauchen wir durchgreifende Maßnahmen gegen schwere Kriminalität und Terrorismus.
",de,10
"Temos agora essa oportunidade, utilizemo­la!
",pt,6
"Der Bericht, über den wir hier sprechen, ist als positiv zu bewerten.
",de,12
"Zum Abschluss der Aussprache wurden gemäß Artikel 103 Absatz 2 der Geschäftsordnung sechs Entschließungsanträge eingereicht.
",de,13
"Devo dizer que, na opinião do Conselho, as propostas da Comissão apontam no bom sentido.
",pt,15
"   Signora Presidente, approvo quanto dichiarato dal Consiglio e dalla Commissione.
",it,10
"Jeg mener dog også, at reformerne skal gå videre end det, vi vedtager her.
",da,14
"Αναδύεται επίσης, όπως υπογραμμίστηκε από πολλές έδρες, η ανάγκη σταθερότητας του νομοθετικού πλαισίου.
",el,13
"Bei Festlegung einer prozentualen Verringerung wäre ein Bezugsjahr wichtig gewesen.
",de,10
"W pakiecie aktów prawnych dotyczących małych i średnich przedsiębiorstw określono trzy główne cele.
",pl,13
"Cette mesure permettra de réduire les particules ultrafines (PM 2,5) particulièrement nocives.
",fr,11
"E' questo che vogliamo!
",it,4
"In tal modo riusciremo a trovare una soluzione alla questione.
",it,10
"Señor Presidente, señora Comisaria, ese es un paso en la dirección correcta.
",es,12
"Stattdessen müssen wir uns mit einer Strategie rüsten, ohne die wir keinerlei Antwort geben können.
",de,15
"Detta är helt oacceptabelt.
",sv,4
"S velkým zájmem jsme si vyslechli argumenty, které jste dnes večer předložila.
",cs,12
"Men viktigare än tullarna är hur vi behandlar våra känsliga produkter.
",sv,11
"Krvavi dogodki v noči 13. januarja so osupnili Evropo in ves svet.
",sl,11
"Unterstützen wir ihn doch.
",de,4
"Samordnings- och analysteamet från kommissionens mekanism för skydd av civila finns också i Chengdu.
",sv,14
"komisarz. - Pani przewodnicząca! Z wielu powodów jestem wdzięczna za prawie wszystkie wypowiedziane tutaj uwagi.
",pl,14
"Stále také máme před sebou úkoly regulační povahy.
",cs,8
"Es absolutamente inmoral, el Sr. Schulz tiene razón recordándolo.
",es,9
"E' necessaria una risposta vigorosa ed efficace.
",it,7
"Pregunta nº 58 formulada por Niall Andrews (H-0830/98):
",es,7
"Neměli bychom už dále ztrácet čas, protože jsme na starých strukturách již promarnili roky.
",cs,14
"Em compensação, são dotados do direito de emitir pareceres.
",pt,9
"Äskettäiset tapahtumat ovat olleet rohkaisevia.
",fi,5
"Gospe in gospodje, radi bi uporabili ta člen.
",sl,8
"Byly obnoveny diplomatické vztahy mezi Konžskou demokratickou republikou a Rwandou.
",cs,10
"En effet, douze membres ont voté pour et douze n'ont pas voté pour.
",fr,14
"Éste es un excelente anhelo.
",es,5
"Trotz alledem ist das Europäische Parlament nicht verpflichtet, als supranationaler Gerichtshof zu fungieren.
",de,13
"No entanto, a sua promoção não deve restringir-se às escolas ou à educação académica.
",pt,15
"Nous devons nous en souvenir.
",fr,5
"Neuvoston on vastattava kokonaisuutena maantieteellisiä eroja.
",fi,6
"I EU finns en inbyggd mygelkultur som även parlamentet upprätthåller.
",sv,10
"När allt kommer omkring bör vi som parlamentsledamöter leva som vi lär.
",sv,12
"Es hora, por tanto, de aventurarse y tomar una decisión final.
",es,11
"Europejski system naukowy musi być bardziej skuteczny, poczynając od uproszczenia zasad jego finansowania.
",pl,13
"Sin duda, la culminación de su Presidencia está en el Tratado de Amsterdam.
",es,13
"Stwarza to Europie szanse utrzymania pozycji lidera w kluczowych sektorach gospodarki.
",pl,11
"Όπως συμβαίνει με πολλούς συμβιβασμούς, το παρόν κείμενο περιέχει στοιχεία προόδου αλλά και απογοητεύσεις.
",el,14
"Direktivet styrker de europæiske monopolers stilling i forhold til deres internationale konkurrenter.
",da,12
"Deshalb stimmen wir für den Bericht insgesamt.
",de,7
"Merci beaucoup, Monsieur Gutiérrez.
",fr,4
"Vendar pa resolucija:
",sl,3
"Skal der være en sikkerhedsventil, så medlemmerne af Parlamentet kan rejse spørgsmålet her i Parlamentet?
",da,15
"La commemorazione del piano Mansholt sarebbe un buon tema dal quale cominciare.
",it,12
"Questi sono gli aspetti che intendevo sottolineare.
",it,7
"Pessoalmente, penso que seria melhor continuarmos desse modo.
",pt,8
"   Herr Präsident!
",de,2
"Høringerne af resten af Kommissionen er en måde at demokratisere hele denne procedure.
",da,13
"Usted lo acaba de decir: esta directiva nos hace mucha falta.
",es,11
"Jaký signál pak Rada dává tím, že navrhuje drastické snižování zdrojů v podokruhu 1a?
",cs,13
"Včasih je zelo naporno, vendar mora Parlament s tem nadaljevati tudi v prihodnosti.
",sl,13
"Sendo assim, será mesmo necessário alargar a União, antes de aprofundá-la?
",pt,12
"Størrelsesforskellen er absurd.
",da,3
"La première concerne les véhicules dits «historiques».
",fr,7
"¿Queremos asistencia jurídica gratuita, y la ayuda de las ONG?
",es,10
"Por isso não a votámos favoravelmente.
",pt,6
"Η ώρα των ψηφοφοριών θα διεξαχθεί την Τρίτη, στις 15.00.
",el,9
"Onorevole Duff, mantiene la sua richiesta?
",it,6
"A Comissão deve iniciar diligências urgentes para que estes países ratifiquem as decisões tomadas.
",pt,14
"Det vigtigste værktøj i Reach er registreringsforpligtelsen for kemikalieindustrien og dens importører.
",da,12
"Dichiaro concluso questo punto dell'ordine del giorno.
",it,8
"Obavami svých občanů se musíme vážně zabývat.
",cs,7
"Programma annuale della Commissione per il 1997
",it,6
"Nadszedł czas podjęcia decyzji.
",pl,4
"Tal como os senhores deputados Brejc, Lax, e outros, também eu adoptei essa abordagem.
",pt,14
"Viime vuonna oli vaarana, ettei jalkapallon maailmanmestaruusotteluja voida televisioida vapaasti kaikissa unionin maissa.
",fi,13
"Por ello, la Comisión considera la enmienda como innecesaria.
",es,9
"Tuttavia, signor Commissario, non credo che il Consiglio abbia raggiunto l'optimum in questo campo.
",it,15
"For det fjerde findes der også misbrug af statsmonopoler.
",da,9
"Hungersnot in Äthiopien
",de,3
"Ponadto mój sprzeciw budzą te aspekty sprawozdania, które odnoszą się do obronności UE.
",pl,13
"Sorge bereiten mir auch die Empfehlungen zu Bewirtschaftungsmaßnahmen für den Fall einer Verschlechterung der Wasserqualität.
",de,15
"Para avaliar esse aspecto, há que discutir, à partida, pelo menos as seguintes questões:
",pt,14
"Herr Präsident, Herr Kommissar, meine sehr geehrten Damen und Herren!
",de,10
"No entanto, nem toda a gente tem acesso a esta base de conhecimentos.
",pt,13
"Permettiamo unicamente l’importazione degli uccelli che non sono a rischio di estinzione.
",it,13
"2004 har ikke været det bedste år i Belarus.
",da,8
"Γνωρίζω ότι υπάρχει συμφωνία της Επιτροπής Προϋπολογισμών και της Επιτροπής.
",el,10
"Je voudrais que la présidence autrichienne énonce des mesures concrètes et claires en cette matière.
",fr,15
"(Puhemies keskeytti puhujan.)
",fi,3
"Pragnę zwrócić się do pana posła Daula.
",pl,7
"Πρόσφατα παραδείγματα το έχουν αποδείξει, ενίοτε με τραγικό τρόπο.
",el,9
"Samoin Euroopan unioni.
",fi,3
"Γραπτές δηλώσεις (άρθρο 149 του Κανονισμού)
",el,5
"Uns ist daran gelegen, dass gemeinsam vorgegangen wird.
",de,8
"E questa è un'occasione che non possiamo perdere.
",it,9
"Många i vår omgivning tycker att EU är mycket lockande och vill gå med.
",sv,14
"Tack så mycket, och hälsa er mor från mig.
",sv,9
"Proč bychom neměli podporovat to, co je nezbytné?
",cs,8
"Powinniśmy budować przybrzeżne rafy.
",pl,4
"Es gibt eine große Zahl früherer Beispiele, die ich jetzt nicht wiederholen möchte.
",de,13
"Europeiska rådets vårmöte har överträffat våra vildaste förväntningar.
",sv,8
"I forbindelse med arbejdsløsheden på et uacceptabelt højt niveau.
",da,9
"Por todas estas razões, votei contra a resolução.
",pt,8
"Apoio vivamente os números 10 e 11, que solicitam a prorrogação do Programa Media Plus.
",pt,13
"Miksei lapsille opeteta heidän alkuperämaansa historiaa?
",fi,6
"Jag talar inte heller om att använda pengar från strukturfonderna.
",sv,10
"Det er den eneste chance for Zimbabwes folk.
",da,8
"Κατά τη γνώμη μου πρέπει να αποφασίσουμε είτε το ένα είτε το άλλο.
",el,13
"Problemet med de forsvundne er stadig i aviserne.
",da,8
"Auf manche Problematiken wird einfach zu wenig eingegangen, weshalb ich dagegen gestimmt habe.
",de,13
"(RO) Počet, rozsah i závažnost útoků na internetu během posledních let vzrostly.
",cs,12
"Pan Barroso nie został wybrany demokratycznie.
",pl,6
"Rozwój w tej dziedzinie przebiega bardzo dynamicznie, wyprzedzając nawet fakty ujęte w sprawozdaniu.
",pl,13
"Oggi abbiamo sprecato questa opportunità di dare una simile garanzia.
",it,10
"Uważam, że nie można zrobić nic lepszego dla pokoju i wzajemnego zrozumienia między naszymi narodami.
",pl,15
"Heillä oli tavoite ja kaikki keinot olivat hyviä sen saavuttamiseksi.
",fi,10
"Estamos também contra a adopção de uma política fiscal comum.
",pt,10
"Potrošnike skušamo čim bolj zaščititi.
",sl,5
"Za vse države članice EU je resnično pomembno, da pokažejo solidarnost spričo tega izziva.
",sl,14
"Walka ze zmianą klimatu ma bezwzględnie priorytetowe znaczenie w wymiarze ogólnoświatowym.
",pl,11
"(Ο Πρόεδρος διακόπτει τον ομιλητή)
",el,5
"Forhandlingen er afsluttet.
",da,3
"Ympäristövaliokunta on hyvin halukas löytämään keinon, jolla ympäristönäkökohdat sisällytetään muihin politiikkoihin.
",fi,11
"Produkterna kommer inte att stämplas med ”Den här är utländsk – köp den inte!”.
",sv,13
"Jaz sem Francozinja.
",sl,3
"Herr Blak, ni säger att vi inte har nämnt Danmark denna gång.
",sv,12
"Det har faktiskt fört oss till debatten här i dag.
",sv,10
"A quanto pare, la decisione del Parlamento non è stata semplicemente ignorata dalla Commissione.
",it,14
"Mówię o tym dlatego, aby podziękować tym wszystkim osobom.
",pl,9
"Dotychczasowe wytyczne dla terenów górskich opierały się prawie wyłącznie o politykę rolną.
",pl,12
"Occorre adottare delle misure che impediscano il ripetersi di simili circostanze.
",it,11
"Tant mieux ! Car cette résignation devant ce que la société jugeait irréversible est intolérable.
",fr,14
"Il insiste clairement sur une nouvelle direction - le verdissement agricole.
",fr,10
"Όλα αυτά τα πράγματα πρέπει να ληφθούν υπόψη.
",el,8
"Herr talman! Algeriet har varit ett plågat land i många år.
",sv,11
"Olen hyvin kiitollinen, sillä myös oma puolueeni, sosiaalidemokraattinen puolue, on nimennyt Saksassa jo 44 % naisia.
",fi,14
"W moim kraju mawia się; ""Skoro nie jest zepsute, to po co naprawiać?”.
",pl,13
"Menimo, da ta primerjava ne prispeva k razumevanju posebnosti obeh totalitarnih režimov.
",sl,12
"Ich denke, dass wir eine solide Analyse darüber angefertigt haben, was getan werden muss.
",de,14
"Ελπίζω ότι η κατάσταση αυτή θα αλλάξει το επόμενο έτος.
",el,10
"Δεν αμφισβητείται ότι το καθεστώς της Νιγηρίας συγκαταλέγεται ανάμεσα στην κατηγορία των ισχυρών.
",el,13
"Stellen Sie sich einmal ein Wehrsystem in einem Verbund tosender Flüsse vor.
",de,12
"Non pas en parallèle avec le Sommet de Laeken, mais une à quatre semaines auparavant.
",fr,15
"Doch wenn davon gesprochen wird, dann muss man sein Wort und seine Versprechen einhalten.
",de,14
"M. Stevenson a cité divers chiffres.
",fr,6
"Νομίζω ότι, και εδώ, μπορούμε να ευελπιστούμε ότι θα συνεχισθεί η καλή συνεργασία στο μέλλον.
",el,15
"Alle og enhver ved, at det ikke fungerer med en militær løsning i Mellemøsten.
",da,14
"Może pan powiedzieć, że jest to zupełnie inna sprawa.
",pl,9
"Θα ήθελα να συγχαρώ την κ. Schaldemose για το εξαιρετικό της έργο.
",el,12
"Si vous pouviez vérifier.
",fr,4
"Panie komisarzu! Jesteśmy świadomi wysiłków Komisji i istniejących problemów ECOFIN.
",pl,10
"Vastas partes da Europa encontram-se em crise social e económica.
",pt,11
"Następne posiedzenie odbędzie się jutro, w czwartek 11 lutego 2010 r., od 09.00 do 13.00 i od 15.00 do 17.00.
",pl,14
"La Commission peut accepter les amendements suivants: 4, 7, 8, 10, 12, 20, 25, 26, 34 et 40.
",fr,8
"Hvis min nabos hus brænder ned, får jeg forsikringssummen.
",da,9
"Gledam gospo Grossetête, ker hočejo Francozi vedno uveljaviti nekaj protekcionizma.
",sl,10
"Επί του παρόντος θέτουμε υπό συζήτηση το κείμενο του ψηφίσματος και αυτό είναι θετικό.
",el,14
"Το Ευρωπαϊκό Κοινοβούλιο δεν έχει την αρμοδιότητα να δράσει σε αυτόν τον τομέα.
",el,13
"   – Con questo si conclude la discussione.
",it,6
"Dvojni pristop bo učinkovit le, če bodo pogajanja držav z Združenimi državami popolnoma pregledna.
",sl,14
"Obsahují základní prvky, které jsou předmětem naší snahy v rámci Evropské unie.
",cs,12
"Rád bych viděl rezoluci, které není třeba, protože dialog, o který žádáme, by byl realita.
",cs,15
"(PT) Pani Przewodnicząca! Mam kilka krótkich spostrzeżeń, jakie nasuwają się w związku z tym procesem.
",pl,15
"Det vil de overhovedet ikke.
",da,5
"Je crois qu'on peut parler directement à nos amis.
",fr,10
"Η ώρα των ψηφοφοριών τελείωσε.
",el,5
"Mullaherne i Teheran regerer et land med jernhånd, hvor menneskerettigheder helt negligeres.
",da,12
"Zunächst möchte ich den drei Berichterstattern für ihre umfassende Arbeit danken.
",de,11
"Esittelijä Sörensen osoittaa kuitenkin heti komission ehdotuksen heikon kohdan.
",fi,9
"Αυτό ακριβώς ζητούμε από την Ευρώπη.
",el,6
"Současný rozpočet EU o tomto nepodává žádnou skutečnou informaci.
",cs,9
"Muito obrigado, Senhora Deputada Carlsson.
",pt,5
"Ce sont nos espoirs.
",fr,4
"Wir brauchen antizyklische Maßnahmen und gemeinsame Initiativen.
",de,7
"Μπορούμε, συνεπώς, να πούμε με βεβαιότητα ότι η συμφωνία που εγκρίθηκε σήμερα είναι πραγματικά φιλόδοξη.
",el,15
"Vi kan inte exakt avläsa den sociala situationen.
",sv,8
"Esto quiere decir que debemos fiarnos, quizá se produzca algo, quizá tampoco se produzca.
",es,14
"Toisin sanoen miten estämme Venäjän veton?
",fi,6
"Haluan lopuksi ottaa hyvin lyhyesti kantaa kollegani Cleggin mietintöön.
",fi,9
"Jag frågar denna församling: vad är medlemsstaterna?
",sv,7
"Sklicujem se na vprašanje Kosova.
",sl,5
"Výzev pochopitelně neubývá.
",cs,3
"Ceci est totalement contraire au respect du droit international.
",fr,9
"Stemmerettelser og -intentioner: se protokollen
",da,5
"Je crois aussi savoir que le président du Parlement européen, M. Pöttering, participera au Sommet.
",fr,15
"Co się tyczy pańskiej interpretacji ust. 7 i 8, chciałbym powiedzieć, że ją rozumiem.
",pl,12
"Biti moramo realni, vendar odločni, in ne smemo prenehati.
",sl,9
"(A sessão é suspensa às 23H15)
",pt,5
"Jak se v této zprávě zdůrazňuje, EU je pro Kanadu druhým nejvýznamnějším obchodním partnerem.
",cs,14
"Kot Švedinja bi rada izkoristila priložnost, da poudarim mestno skupnost Södertälje, južno od Stockholma.
",sl,14
"Il est important que ces échanges d'expérience aient lieu entre les États membres.
",fr,14
"Ich bin sicher, daß dies vom Europäischen Parlament unterstützt wird.
",de,10
"Paní Ashtonová tu dnes není.
",cs,5
"Je les emporte.
",fr,3
"Teď musí začít skutečná práce.
",cs,5
"Naszym wyzwaniem jest teraz odbudowanie mostów pomiędzy społecznościami, Kultura może się do tego przyczynić.
",pl,14
"La votazione congiunta è chiusa.
",it,5
""" επιθυμία μου, κυρία Πρόεδρε είναι απλώς να επαναλάβω αυτό που έχει ειπωθεί.
",el,12
"Come per l'emendamento 3, sto cambiando il tipo di commissione citata nella posizione comune.
",it,14
"Les abus commis dans les États membres doivent cependant être soulignés.
",fr,11
"Un objectif aussi ambitieux ne sera pas sans conséquences pour l'économie des États membres.
",fr,15
"Sprawozdanie dotyczy wniosku Komisji o stworzenie światowego sojuszu na rzecz przeciwdziałania zmianom klimatycznym.
",pl,13
"Trots att dessa människor utgör 10 procent av befolkningen är de utestängda från väldigt många yrken.
",sv,15
"Nichtsdestotrotz beinhaltet die andere Seite einen impulsgebenden Prozeß.
",de,8
"Necessitamos de um paradigma radicalmente novo.
",pt,6
"Sin embargo, los océanos y el concepto de globalización no son mutuamente excluyentes.
",es,13
"Zátěž bude rozdělena, stejně jako řešení.
",cs,6
"I stället lyckades de åstadkomma en katastrof av gigantiska proportioner.
",sv,10
"Równie konieczne jest wzmocnienie nadzoru i regulacji.
",pl,7
"Sur ce point, je suis entièrement d'accord avec Mme Hieronymi.
",fr,11
"(Parlament odrzucił wniosek w głosowaniu imiennym)
",pl,6
"Mutta kuinka kävikään?
",fi,3
